feature,attribution,uncertainty
Vergence_Angle,0.5838613272295688,0.0022535958753182725
Vergence_Angle,0.5836428896663237,0.005170807771966124
Gaze_Point_Distance,0.583407291798045,0.009852814501285313
Cosine_Angles,0.5831556061709959,0.0024477695652088656
Velocity_Gaze_Direction_R_X,0.583117391404167,0.005241352187508085
Vergence_Depth,0.5821196532144249,0.005352800588583707
World_Gaze_Direction_R_X,0.5819832668662775,0.0037555523461824383
Cosine_Angles,0.5815503001141784,0.003993583472523184
World_Gaze_Direction_R_Z,0.5799281855801841,0.004503727814589389
Ratio_Directional_Magnitude,0.5789000581289442,0.0022535958753182725
Gaze_Direction_Z_Ratio,0.5780367770012299,0.005170807771966124
Ratio_World_Gaze_Direction_X,0.577868114218689,0.003993583472523184
Velocity_Gaze_Direction_R_X,0.577724699350397,0.003925313118769502
Relative_Change_Vergence_Angle,0.5769947734966977,0.003925313118769502
Acceleration_Gaze_Direction_R_X,0.5765693906416356,0.004181173501475773
Directional_Magnitude_L,0.5765598089205919,0.003925313118769502
Ratio_World_Gaze_Direction_X,0.5759029302913901,0.004385247930892375
World_Gaze_Direction_L_X,0.5758313513180834,0.004385247930892375
Acceleration_Gaze_Direction_R_X,0.5755665715768792,0.005170807771966124
World_Gaze_Direction_R_Z,0.5751416139733468,0.004385247930892375
Gaze_Vector_Angle,0.5751169090121294,0.0037555523461824383
Gaze_Direction_Y_Ratio,0.5748662109248163,0.009852814501285313
Gaze_Direction_Z_Ratio,0.5744297846656012,0.004181173501475773
Relative_Change_Vergence_Angle,0.5739980857006594,0.003993583472523184
Gaze_Direction_X_Ratio,0.573939309047761,0.0023459639886547097
Vergence_Angle,0.5735724661991216,0.004029082116671015
World_Gaze_Direction_L_X,0.5729431194202778,0.004181173501475773
Acceleration_Gaze_Direction_R_X,0.5727413823406338,0.0022535958753182725
Vergence_Depth,0.5726288612119832,0.001759808070311745
Ratio_World_Gaze_Direction_X,0.5698065364675454,0.0025582141793772497
Angular_Difference_X,0.5687463630251278,0.004029082116671015
Delta_Gaze_Y,0.5672415672982334,0.00719797103396885
Vergence_Depth,0.5672112209829493,0.0023459639886547097
Ratio_World_Gaze_Direction_Z,0.5668932194663758,0.0031481271499078003
Velocity_Gaze_Direction_R_X,0.5661175594663531,0.0023459639886547097
Normalized_Vergence_Angle,0.5653122844351427,0.004503727814589389
Delta_Gaze_Y,0.5645216969467014,0.005241352187508085
Velocity_Gaze_Direction_R_X,0.5639008135627424,0.005170807771966124
Acceleration_Gaze_Direction_R_X,0.5633605945685335,0.00719797103396885
Ratio_World_Gaze_Direction_Z,0.5627607206782393,0.003993583472523184
Vergence_Depth,0.5620782331082308,0.00719797103396885
Gaze_Point_Euclidean_Distance,0.5619888674077592,0.009852814501285313
Relative_Change_Vergence_Angle,0.5613289762906176,0.005170807771966124
Gaze_Direction_X_Ratio,0.5604906515360906,0.00719797103396885
Vergence_Angle,0.5599910953955646,0.0037555523461824383
Ratio_World_Gaze_Direction_Y,0.5597986601058724,0.0015240980860496414
Ratio_World_Gaze_Direction_Y,0.5589559452903547,0.0022535958753182725
Ratio_Delta_Gaze_XY,0.5585785148564536,0.004503727814589389
Gaze_Direction_Z_Ratio,0.5580041694069334,0.005352800588583707
Ratio_Directional_Magnitude,0.5575570661198456,0.003925313118769502
Directional_Magnitude_L,0.5568485148280009,0.00719797103396885
Ratio_Directional_Magnitude,0.5555935741350664,0.001759808070311745
Directional_Magnitude_Ratio,0.554850578733671,0.004503727814589389
World_Gaze_Direction_L_X,0.5548132411976469,0.003246120263004547
Cosine_Angles,0.5547764278603111,0.005352800588583707
Gaze_Point_Distance,0.5545849816783978,0.0023459639886547097
Ratio_World_Gaze_Direction_Z,0.5539724761315828,0.0037555523461824383
Ratio_World_Gaze_Direction_Y,0.5533593942257221,0.004503727814589389
Gaze_Point_Distance,0.553351407302667,0.0018110088625367439
Delta_Gaze_Y,0.5521831640071196,0.0031481271499078003
Acceleration_Gaze_Direction_R_X,0.5521365512854539,0.003246120263004547
Directional_Magnitude_R,0.5520335048593042,0.004225733544047231
Gaze_Point_Distance,0.551405699504189,0.004181173501475773
Vergence_Depth,0.5501681496810726,0.005241352187508085
Gaze_Direction_X_Ratio,0.5496141813879521,0.0018110088625367439
Acceleration_Gaze_Direction_R_X,0.5494761503331265,0.005241352187508085
Vergence_Depth,0.5487634638272837,0.0015240980860496414
World_Gaze_Direction_R_Z,0.5474671517501447,0.0023459639886547097
World_Gaze_Direction_R_X,0.5465150399744872,0.0022535958753182725
Angular_Difference_Gaze_Directions,0.5452282199910746,0.004029082116671015
World_Gaze_Direction_R_X,0.5446351922167982,0.00719797103396885
World_Gaze_Direction_R_Z,0.5439514466791131,0.004225733544047231
Gaze_Direction_Z_Ratio,0.5436862484301325,0.003246120263004547
Gaze_Vector_Angle,0.5434882781504472,0.00719797103396885
Delta_Gaze_Y,0.54325569965493,0.001759808070311745
Velocity_Gaze_Direction_R_X,0.5429010753164147,0.0015240980860496414
Relative_Change_Vergence_Angle,0.542065517734749,0.00719797103396885
Acceleration_Gaze_Direction_R_X,0.5417154305375395,0.009852814501285313
Ratio_Delta_Gaze_XY,0.5396602224155151,0.0023459639886547097
Gaze_Vector_Angle,0.5387605875945792,0.004029082116671015
Delta_Gaze_Z,0.5386214116791836,0.005352800588583707
Delta_Gaze_Y,0.5384288771465296,0.005170807771966124
Angular_Difference_X,0.5382421825668439,0.00719797103396885
Acceleration_Gaze_Direction_R_X,0.5381629814579546,0.0024477695652088656
Acceleration_Gaze_Direction_R_X,0.5368819552121507,0.005352800588583707
Vergence_Angle,0.5366240579136393,0.004006383247245401
Acceleration_Gaze_Direction_R_X,0.5364444889022568,0.0015240980860496414
World_Gaze_Direction_R_Z,0.5358355036506772,0.003246120263004547
Gaze_Direction_Y_Ratio,0.5357334544790944,0.0025582141793772497
Normalized_Vergence_Angle,0.5354823451143085,0.005170807771966124
World_Gaze_Direction_R_Z,0.5352765844324653,0.005352800588583707
Velocity_Gaze_Direction_R_X,0.5347654272831687,0.0037555523461824383
World_Gaze_Direction_R_X,0.5343081429570468,0.004029082116671015
Delta_Gaze_Z,0.5335753726576327,0.003993583472523184
Angular_Difference_X,0.5335328699121229,0.003993583472523184
Ratio_World_Gaze_Direction_X,0.5325224658533563,0.004225733544047231
Gaze_Point_Euclidean_Distance,0.5323875229947773,0.0018110088625367439
Vergence_Depth,0.5323121047759917,0.003993583472523184
Delta_Gaze_Y,0.5318639213718884,0.0022535958753182725
Gaze_Point_Depth_Difference,0.5315332946729472,0.0023459639886547097
Acceleration_Gaze_Direction_R_X,0.5309112896801699,0.0037555523461824383
Velocity_Gaze_Direction_R_X,0.530616652112962,0.004503727814589389
Ratio_World_Gaze_Direction_Z,0.5305816114388692,0.0015240980860496414
Delta_Gaze_Y,0.5298950571121731,0.004385247930892375
Gaze_Direction_Z_Ratio,0.5297656645703402,0.004029082116671015
Directional_Magnitude_L,0.5295134324597509,0.0022535958753182725
Gaze_Vector_Angle,0.5292118486278462,0.003246120263004547
Angular_Difference_Gaze_Directions,0.5291976120495123,0.0037555523461824383
Vergence_Depth,0.5291581284187892,0.0022535958753182725
World_Gaze_Direction_L_X,0.5289228654127065,0.005352800588583707
Gaze_Point_Distance,0.5286200224811066,0.004385247930892375
Gaze_Vector_Angle,0.5282741849448275,0.0018110088625367439
World_Gaze_Direction_R_Y,0.528004025665402,0.004029082116671015
Gaze_Direction_Angle,0.5275711545452312,0.004225733544047231
Ratio_World_Gaze_Direction_Y,0.5272061251243582,0.003925313118769502
Ratio_World_Gaze_Direction_Z,0.5270025628376257,0.004006383247245401
Delta_Gaze_X,0.5269232554427384,0.004006383247245401
Gaze_Direction_X_Ratio,0.5266279512440755,0.005352800588583707
Ratio_World_Gaze_Direction_Z,0.5257991347508166,0.004225733544047231
Vergence_Depth,0.5257610493696151,0.005170807771966124
Normalized_Vergence_Angle,0.5244715654017613,0.005352800588583707
Acceleration_Gaze_Direction_R_X,0.5240111785359685,0.001759808070311745
Velocity_Gaze_Direction_R_X,0.522918353953685,0.0025582141793772497
Ratio_World_Gaze_Direction_Y,0.5224083464915604,0.00719797103396885
Gaze_Vector_Angle,0.522386389443161,0.0025310292106994815
Vergence_Angle,0.5223477762006226,0.003993583472523184
Directional_Magnitude_L,0.5222714452638871,0.0018110088625367439
Delta_Gaze_Y,0.5212135985488404,0.0037555523461824383
Ratio_World_Gaze_Direction_Y,0.5203563132622905,0.005170807771966124
Vergence_Depth,0.519515408104359,0.004503727814589389
Angular_Difference_X,0.5193738302920302,0.0025582141793772497
World_Gaze_Direction_R_Z,0.5183609537344613,0.003925313118769502
Acceleration_Gaze_Direction_R_X,0.5182982208194433,0.004225733544047231
Angular_Difference_Gaze_Directions,0.5176214496692633,0.0022535958753182725
Gaze_Direction_X_Ratio,0.5174694057096598,0.0015240980860496414
Ratio_World_Gaze_Direction_Y,0.5173875026420433,0.0024477695652088656
Gaze_Direction_Y_Ratio,0.5167978909971627,0.00719797103396885
Gaze_Direction_Z_Ratio,0.5166580446749947,0.005352800588583707
Ratio_World_Gaze_Direction_X,0.5162013497645318,0.003246120263004547
Vergence_Depth,0.5157743711852603,0.004181173501475773
Vergence_Angle,0.514444517035911,0.005352800588583707
Ratio_Delta_Gaze_XY,0.5143739181108157,0.0022535958753182725
Ratio_Delta_Gaze_XY,0.5139426089343504,0.001759808070311745
Directional_Magnitude_R,0.5134714975196141,0.0018110088625367439
Normalized_Vergence_Angle,0.5121454391205955,0.0031481271499078003
Vergence_Angle,0.5120156339847614,0.001759808070311745
World_Gaze_Direction_R_Y,0.5114407917175422,0.005241352187508085
Velocity_Gaze_Direction_R_X,0.5112159982111836,0.003246120263004547
World_Gaze_Direction_R_Y,0.5111718065541251,0.009852814501285313
Velocity_Gaze_Direction_R_X,0.5106243133298991,0.005352800588583707
Gaze_Direction_X_Ratio,0.5105177003280134,0.004385247930892375
Gaze_Direction_Z_Ratio,0.5102363676336937,0.0025582141793772497
Normalized_Vergence_Angle,0.5099645038967289,0.0037555523461824383
